Number,Link,Name,Person,Category,Comments,Online summary,Mechanism,How_many_on_the_ground_users ,Novelty,Systemic amplification,team_diversity,Last Worked On 
49,https://theodi.org/service/tools-resources/data-and-public-services-toolkit/,Data and Public Services Toolkit,Clem,Green,Will prepare proper pitch for this. A toolkit which helps public services use data better. Seems really open ended and thoughtfully done.,A toolkit which helps public services use data better. ,Toolkit,N/A,0,"385,270",,
52,https://datatrusts.uk/,datatrusts.uk,Clem,Green,Really interesting project with a long term vision which could be completely transformative. Has a pretty plausible roadmap. Bit of a moonshot. ,A project to get data trusts happening in the UK,Organisation,N/A,1,"12,900",,
55,https://decidim.org/,decidim,Clem,Green,"Platform for democratic, strategic decision making. Seems very ambitious, but could be incredible if it works.","Platform for democratic, strategic decision making. ",Platform,N/A,0,"12,850,000",,
60,http://digitaljuries.com/,Digital Juries,Clem,Green,Super interesting idea to create system for dealing with online harassment etc. -- not sure how anything would be enforced though. ,Digital juries to deal with case of online harassment,Paper,N/A,0,30,,
71,https://eff.org/pages/tools,EFF Tech Team,Jacob,Green,Widely-used projects that democratise web security and freedom.,Widely-used projects that democratise web security and freedom.,Organisation,1370000,0,"29,006,000",,
78,https://fixmyblock.org/,Fix My Block,Jacob,Green,Guides for dealing with towe block living problems. Many directions for expansion.,Guides for dealing with tower block living problems.,Toolkit,N/A,1,563,,
82,https://globaleaks.org/,GlobaLeaks,Jacob,Green,Open-source whisteblowing platform. Many use cases- lots of room for growth.,Open-source whistleblowing platform.,Tool,N/A,1,"147,330",,
87,https://metagov.org/govbase/,GovBase,Jacob,Green,Crowdsource database of organisations and communities.,Crowdsourced database of organisations and governance structures.,"Framework, Dataset",N/A,1,537,,
98,https://keepitinthecommunity.org/,Keep It In The Community,Viktor,Green,"An amazing idea to have an open-source list for the Assets of Community Value. But what is even better is that they have clear goals: to have an online record for each ACV and community-owned asset; and to provide an easy way to understand and compare them. I am not sure that they really need extra money because they have enough from charity, they ask only for some bug fixing in their code. The webpage could be with better design and more features but I am not sure.","Map Assets of Community Value (ACVs) and community-owned assets across England, and to allow anyone to highlight valued spaces and places that may become ACVs in the future","Platform, Dataset, Community_of_practice",N/A,0,"1,780",,
102,https://littlesis.org/,LittleSis,Viktor,Green,They are geniuses from their name to functionality. I even plan to use them in my own research. They definitely need our money...,Combines information from various open and closed resources ,"Platform, Dataset",70170,1,"533,660",,
104,https://docs.google.com/document/d/1oRHBT5zyfF2BMzsKiZFhluwykTCjOFHltQ1K8KvyEP8/edit?fbclid=IwAR26eDXaD6w7ocCkwIfiSS4zBNHePHlQlFGtAIHzxupScigniLeGMa806sg,Map of Research Tooling,Viktor,Green,Promising. Maybe with funding it could be better ogranized and be more like Research Tools Wiki,"Potentially Research Tools Wiki, right now a list of Research tools",Toolkit,N/A,0,N/A,,
108,https://collectivetech.io/,Collective Tech,Viktor,Green,Brilliant. Very well explained and it needs our money. And they are very concrete how much and for what! The only problem that their contacts do not work...,Tech support for collective design and collective decision making,Tool,N/A,1,106,,
119,https://missingnumbers.org/,Missing Numbers,Viktor,Green,An amazing idea to identify and discuss what kind of data and for what reason is missed from public data sets,Figuring out what data is missed in public data and why it is important to have it,"Platform, Tool",N/A,0,299,,
123,https://murmurations.network/,Murmurations,James C,Green,"This is great. I would be curious as to how successful it is in terms of people updating their own website, but I can see how this should grow - and they have written a recent blocks on the next components they are funding.","Organisation creating a new protocol for management of directories and maps, targeted at mapping communities in the regenerative economy.",Tool,N/A,1,"1,470",,
126,https://onlinepostalvote.uk/,Online Postal Vote,James C,Green,"Super useful, but do they need more money to do something? What'd the money be used for?",An online form to apply for a postal vote in the UK,Tool,N/A,0,21,,
130,https://opencollective.com/,Open Collective,James C,Green,A SUPER TOOL! Radical Engineers has been looking at using this. Not sure if they need money though as they have a sustainable business model.,Open Collective is a platform for organisations to manage finances transparently. They also act as/provide fiscal hosts so unincorporated organisations can raise funds legally.,Tool,800810,0,"12,550,000",,
134,https://openownership.org/,Open Ownership,James C,Green,Open knowledge of who owns what is only fair,"Advancing transparency in company ownership to build trust, and reduce corruption and tax evasion.",Framework,N/A,0,"900,000",,
138,https://organise.org.uk/,Organise,Hannah,Green,Tool for organising workers in unionised workplaces... has the potential to be a pretty big pipeline for future unions/ workplace organising... good to think about how this could plug into existing unions. ,Tool for organising workers in unionised workplaces.,Tool,N/A,1,"4,550",,
142,https://github.com/cverluise/PatCit,patCit,Hannah,Green,A patent citation system? This could have interesting applications ,A patent citation system,Dataset,N/A,1,N/A,,
145,https://platformland.org/,Platformland,Hannah,Green,Group looking at how to implement government as a platform ,Group looking at how to implement the ideas in government as a platform (making government services like a platform),Publication,N/A,0,202,,
146,https://ash.harvard.edu/files/ash/files/293091_hvd_ash_gvmnt_as_platform_v2.pdf,Playbook: Government as a Platform,Hannah,Green,"A template of A project to outline the ways government can reconceive itself as a platform for citizens        Make governments more effective in terms of services        an academic        It outlines solutions for a problem - its adoption has been limited. Little info on this. Tracker for each government's progress?        This is probably the main thing in this space - not from an internal state reform angle but a academic paper on it        It has solutions and is a great paper but the key thing is adoption/ tracking - how to convince decision makers?        Create a tracker, lobbying arm - partnership with IfG?",A template of A project to outline the ways government can reconceive itself as a platform for citizens,Publication,174440,0,N/A,,
156,https://redecentralize.org/,Redecentralize,James C,Green,"We're increasingly seeing the damage caused by the internet's infrastructure. If there's a snowball's chance in hell of this working, it's worth funding.",A collectivising community around redecentralizing technology,"Community_of_practice, Publication",N/A,1,"8,680",,
158,https://replicationmarkets.com,Replication Markets,Amber,Green,,Project incentivising people to forecast the chance of replication of a study and using the data to train machine learning models to predict the validity of future research studies.,Platform,N/A,1,890,,
161,https://sci-hub.se,Sci-Hub,Shad,Green,Kopimi,A project to opensource academic articles from journals,Platform,15370000,1,"4,000,600",,
190,https://whopostedwhat.com/,Who Posted What,Hannah,Green,This is incredibly useful... for facebook monitoring... could build some interesting tools on top of it.,A tool for monitoring posts on facebook,Tool,N/A,0,"1,930",,
193,https://whotargets.me/en/notify/,WhoTargetsMe: Notify,Hannah,Green,A way to monitor political advertising and what is being targeted at different people - goes further than the facebook ad library - needs resources to re-establish notify,A newsletter to monitor political advertising and what is being targeted at different people,Tool,50000,1,"6,130",,
194,https://wikidata.org/,Wikidata,Hannah,Green,Creating the structured data from wikipedia which will be used for everything one day... so important,Creating structured data from wikipedia and to insert into wikipedia,Platform,5480000,1,"552,410,000",,
195,https://arxiv.org/abs/2006.13400,Wikipedia and Westminster: Quality and Dynamics of Wikipedia Pages about UK Politicians,Hannah,Green,Project to make the pages of politicians more updated and look at when they are consulted        I guess it solves the problem of people being able to access quality info about policitians when they look for it - by seeing if there is a demand for this? Do editors who are politically polarised do enough to update these important pages?        a few academics        If you made it a focus to better update information on politicians ahead of the elections that could help people better understand the people they are voting for. Would like to read about what kind of people consult wikipedia.         I guess its like a more formalised democracy club except that is for candidates too - is there an in built disadvantage to candidates if only the incumbent is covered on wikipedia? Incumbency bias would be interesting to see...         I think it could be important for elections - would be good to formalise this process so information is fairer and less just about editors biases.        Money to create a volunteer group to do this? Could this be funded through other foundations?,Project to make the wikipedia pages of politicians more up to date so when they are consulted in elections they are more useful,Paper,N/A,1,N/A,,
